id;text;sentiment
41;Me respondeu :) tinha saído;1
42;@PikawChan Conversa bem saudavel :);1
43;"@muriloud5 @1Gallinari @rakansgirl Independentemente disso
Torcer pra RED vencer é uma coisa
Torcer contra outro time é outra :)";1
44;Tinha um header lindo para pôr mas não posso :);1
45;gente não é pq o time que eu torço perdeu que vou deixar de torcer por ele SEMPRE :);1
46;@fairywonwoo entao gasta o dinheiro e fica sem album :);1
47;"@OphryAmitis Eu estou muito bem :)
obrigado por perguntar";1
48;@rui_carvalho_7 Tou sem energia :);1
49;Olha q lol :);1
50;Acho que vou fazer a única coisa que deixa um homem dono de casa realmente feliz : lavar a louça do almoço :);1
51;"E por ultimo, tenho os 100 votos prontos, se quiserem é só chamar na DM :) 
~Ko";1
52;@Vsplyshka @kristicolivera @Lindamc97 @educationtr @_rjardon Uma ótima semana a todos! :);1
53;@Kelsblells @piratechristoph As do I. :-);1
54;@h4tter_ Me chama eu vou hein :) kkkkkk;1
55;@anasofiasd Obg, digo o mesmo :);1
56;Encontrei a My e a Helena hoje :);1
57;"SERÁ QUE acumula?

Ainda faltam 2 jogos :) https://t.co/4O4RWo3v9U";1
58;@Purpotimex nem eu kkkjk enfim nao precisa mais :);1
59;Acho* porque o meu pai promete promete mas depois nunca cumpre nada :);1
60;@lfreitas_4 quem te dera ter alguem para por :);1
61;@misshomicidal @AhNegao Chame de Felipe Joe ou Joe Felipe, assim suas noites de sono são garantidas :);1
62;@asulado eheh já experimentaste com alho em pó? É bom :);1
63;@nathymdc @NathiSmiith De nada :);1
64;@kikaaaa05 AHAHAah vem cá a baixo q eu explico-te, n chores :);1
65;ainda existe.... :) https://t.co/rguxzquOJL;1
66;"Vem que tem :) dá RT ajuda eu 

#SertanejoNaHd @Habbid https://t.co/oGDBeeBO5S
Bonitinho-nub https://t.co/oXiMWuPBhw";1
67;Esses amigos q não me procura quando tá em unai, corta aq :);1
68;@jovenzandu obg cara. tava procurando saber como faz intro 3d, faz tempo :);1
69;"É o que temos para esta noite :)
#Quadrinhos @ Priscilla Escóssia Arquitetura e Interiores https://t.co/aXy8UB07bE";1
70;Reminder for @Hotsammysliz @MsMarvel1987 @DesolarTV aka Pizza Connoisseurs :) https://t.co/513lgQiivD;1
71;Boa noite para vocês :) — feeling good;1
72;Enfim, fica como experiência pro próximo ano :);1
73;Nov 2015 to Apr 2017 :) https://t.co/D57EOEMn6u;1
74;@felipeneto REAGE A LARRY E VEJA QUAL O SIGNIFICADO VERDADEIRO DE ALMAS GÊMEAS :);1
75;Wow. Deu vontade de rever. Amava. :) https://t.co/3v6C0ix85S;1
76;"Nunca confunda Gentileza com Submissão.
Não é porque sou legal que você pode fazer  o que quiser comigo :)";1
77;vou estar no tt prai ate 00:00 e depois ver filmes :);1
78;@9vgA7qn7xSlMd2g @BelgiumC @ConceicaoToze @SLBenfica Boa noite! :);1
79;"@indiposamigos dito por ti não é bonito :) 
e com esta me retiro";1
80;adicionei 10 novas séries pra assistir futuramente :);1
81;LOL JÁ NÃO VOU A PORTUGAL :);1
82;@iMandyCandy vi seus últimos vídeos e preciso te dizer: vc ficou linda ruiva! Arrasou! Os temas dos vídeos estão 10! Continue assim! :);1
83;Bem vinda :) @ImTheKingJJ_;1
84;Amanhã é segunda e pela primeira vez não estou ligando :);1
85;#NowWatching Colossal. @Arielrocks5 :);1
86;@funkytrillmatic ou não, se me aparecerem borbulhas vai piorar :-);1
87;@ricardopn84 e não vamos confia :);1
88;@ferreirasolang4 oi pessoa que vive curtindo minhas coisas, mas nunca fala comigo :);1
89;@itsmeERROR é preciso também é um €€ para investir no inicio :);1
90;@autrecyntia vi não, fale-me mais sobre. :);1
91;A nadie le interesa, morra :);1
92;"Eu era mo parada aq com 80 tweets
agr tenho 737 tweets n sou mais parada
orgulho :)";1
93;@carlacoutinho @justplay Obaaa. Fechado! Assim que acabar o Encontro me avisa que combinamos. :);1
94;@tweedysters O título é a indireta :);1
95;@AscensoSimoes Ahahah… Muito bom. Não conhecia e até tenho faltado às últimas aulas :-);1
96;"Porque é que nos rimos sempre da ""desgraça"" alheia? Talvez isto explique :) nota: coitadito do pequenote https://t.co/Z3OMbuQPTT";1
97;foo :-) : b320dc2b-dd74-42bb-a7ca-e52bc2952776;1
98;Sinb parece a mais estressada/sem paciência no Gfri... — aaaaaaa esse é o jeito meme dela :) https://t.co/Y02cUCaNj0;1
99;@Cavalinho_CAP Vendo por esse lado (o seu) tenho que concordar :);1
100;Obg, Facebook é melhor que muitas pessoas :) https://t.co/9tDzA9QQdN;1
101;@LuckyTiago não rola infeliz... vá la buscar o lula para vc fazer o que sonha em fazer com ele :);1
102;"Inscrições para curso Rio Grande do Sul :)

Escreva para
mariana@inspiralante.com.br

O curso de Percepção... https://t.co/btGJ9wk98v";1
103;so da podle revoltado no facebook porque perderao kkkk verdao é verdao poha nao fiquem revoltados :);1
104;@luanasykess Conversa de hoje à tarde, mas sempre podais ter novos amigos :) u welcome;1
105;@BelgiumC @ConceicaoToze @9vgA7qn7xSlMd2g @SLBenfica Lindos meninos! :);1
106;Fui chamar um amigo meu pra ver guardiões da galáxia e o viado já vai assistir com outra pessoa :-);1
107;Na vida eu sou pessoa que deixa os amigos irem na frente pra ir depois ouvindo musica tranquila :);1
108;o @ parece que só posta desenhos coloridos da Gaga na página, o meu que é preto e branco não postam :);1
109;@77Sensor @EurosportTV_Por Não tenho dessas coisas. :) Tiro o som.;1
110;@85laetitia85 toutafé :);1
111;@Flor_direct @BestHarrySBR boa sorte :);1
112;Te dei um stalk agora pouco, tenho interesse — hehehe :) https://t.co/SRF8QDooda;1
113;@dragonizado86 @puto_silva02 poderá mandar me mensagem que eu lhe explicarei o que irei fazer :);1
114;"Pq vc foi grossa a toa comigo 
Falam que vc é a men... — eu fui grossa??? eu sou um amor msm rsrs :) https://t.co/ki7FUeLi5u";1
115;@ilangaw17 @OGatoGalactico Valeu!! :);1
116;Eu a comer pizza e a renata manda snap a cagar :);1
117;@ferreirasolang4 @bizzlemorzin já amei, me chama na dm :);1
118;Gostei de um vídeo @YouTube https://t.co/MFSrK8bmik Battle - O TIGRINHO GANHOU CHUVA DE DIAMANTE :);1
119;@denilsonshow tou só esperando o post sobre o corinthians pra dar rt na QUARTA FORÇA :);1
120;E por favor, enfia a tua cabeça no teu cu, obrigada :) https://t.co/AqnVyhfkkG;1
121;Isso nunca to vou dizer,  não leves a mal, sei que ... — Pronto como preferires, obrigada :) https://t.co/wdGIY1MKaO;1
122;@mafaldatesao porque sou um roto que só vai a cenas de borla e tem de estar com muita vontade de não estar em casa :);1
123;Vou ignorar :) (:;1
124;@jbfilhoreporter Chama o Cravo e reverte na Suíça! :);1
125;Vou dar aquela caga agora, pra você!  ahsjsjs :);1
126;Amanhã já é segunda... #soquenao, é  feriado. Mais um dia para ler, mais um dia para ler... :) #amoraoslivros;1
127;Gostei de um vídeo @YouTube https://t.co/eOmFa2FQ9kÃO DOS JOGOS DIFERENTOSOS!! BORA LITTLE NIGHTMARES PRIMEIRO :);1
128;Estou indo pro culto :);1
129;@luizytiny ):):): vc eh o amor da minha vida mesmo;1
130;@iamfulo Sei que é meio estranho um desconhecido falando essas coisas mas saiba que vc não está sozinha, tá?! :);1
131;@God_is_a_she @behin_d_curtain Era. A belga não me dava dois metros de soltura, parecia a minha sombra. :);1
132;@toldryle NÓS nos importamos com ele, se você está aqui pra falar merda pode se retirar :)  #WeLoveJackJohnson #BrazilLovesJackJ;1
133;só me fodo :);1
134;@felipeneto é o brasil meu filho :);1
135;@rxcd @arrowp Pensando por esse viés… :-);1
136;.@rita_WTV @ddlzhou Faço RTxRT :);1
137;Eita quando vejo Astor lembro de Keny Shenrock :);1
138;na Tv da pra ver as cabeças deles :);1
139;@nckisagod nem foi :);1
140;@pxjonathann Não foi mesmo :);1
141;@louishrynlx Não é mal visto :);1
142;@yLuuCz eu ajudo :);1
143;@a_bibi2728 Ohhhh amansa ursa ahahahahh, amanha vais apanhar :);1
144;Ostia chavales :);1
145;"Quando eu falo que vou fazer psicologia tem gente que fala ""uuh vai passar fome"" ai eu fico tipo :) pq é engraçado";1
146;benfica shit — shit é a tua cara :) https://t.co/zpZifppxut;1
147;Fui ao casino e perdi 3,80€ :);1
148;Boa noite :-);1
149;"@focustarboy eu tinha lhe dito para voltar a Portugal em breve pq o queria conhecer e ele disse ""I WILL :) Love you"" AAAAA";1
150;Respira, Cristiana, tá tudo bem :);1
151;@taegomx o teu cu chora por tailandeses :);1
152;@Diogofluminens2 @FluminenseFC @bravo52oficial minha foto kkkkkkkk :);1
153;"Stam! Não podia dar certo! 
:) https://t.co/O9eclbXDrl";1
154;Melhor sorriso do mundo! :) https://t.co/opb8z06h4b;1
155;Companhia especial de almoço hoje :-) https://t.co/Er893YMmId;1
156;Uma merda :) https://t.co/kXbgH9rRyo;1
157;Eu quando ganho confiança com as pessoas :) https://t.co/BqWN0Igl5w;1
158;Escolhe me a mim :);1
159;@corbata1982 não entendi kkk mas ainda assim, e daí se as pessoas pensam q estão ficando? foda-se a opinião dos outros :-) né? ^_^;1
160;@Joa0Correia fazes bem :);1
161;@Flaviaiisabel @PedroTheDrunk @AlexandreMM17 Correção adormeci :);1
162;foo :-) : cb998b2a-de18-4b34-8d28-66e16dd16a19;1
163;hora de afogar as mágoas em comida :);1
164;Se tocar XAINIRÔ eu não respondo por mim :);1
165;começando o dia com derrota por culpa de primata acéfalo q n sabe jogar :);1
166;@oilarie so se tu me der um bjo :);1
167;Como amanhã e feriado :) https://t.co/W6xjQq1g8k;1
168;Foi pouquinho tempo mas valeu a pena :) tou bué bem;1
169;...Ainda bem que todo bandido é burro. Por isso, se ferram. Dick vigarista/Richard Milhous Dastardly #feelings :);1
170;Quem quiser jogar comigo um Sky Wars, entra lá https://t.co/DJdMTMmQhj, vou estar lá nas placas :);1
171;Pelo menos né :) https://t.co/nSesTe16OR;1
172;fiz bolo de chocolate recheado :);1
173;O meu ex-crush vai fazer o mesmo exame que eu, adoramos a vida :-);1
174;@arthurvicente11 @PatoPapao Este estilo de jogo suicida só faz a comp deles crescer, mas realmente tenho que ter mais fé que dá :);1
175;@Herr_Flicks Estou a ver sem som. :);1
176;@ConceicaoToze @BelgiumC @9vgA7qn7xSlMd2g @SLBenfica Boa noite meninos :);1
177;@inconseguir E o resto ? :);1
178;@gabiefernandes me da parabens favorzinho :);1
179;@miichael52 Opa! Não sabia, não sabia mesmo. Vivendo e aprendendo. :-);1
180;Sou uma merda :) :) :) :) :);1
181;e agora os outros que me pedem abraço :);1
182;"HOJE EU SÓ QUERO 
QUE O DIA TERMINE BEM ! 
:)";1
183;@AsuClockworker @PeixeTonto eu acho as duas super legais :);1
184;Queres vir perar? — Contigo não :) https://t.co/m0Y2Nvizmq;1
185;Ainda não matámos ninguém :) https://t.co/xwVlKf8UNM;1
186;vou ligar pra ele e matar a saudade :);1
187;@cmariact @ritafcf Podes falar Mt tu :);1
188;a charge mais linda que você verá hoje!! Jesus te ama do jeito que você é :-) https://t.co/1FS7WzcxMP;1
189;Gostei de um vídeo @YouTube https://t.co/8JVwVQ8ubaÃO DOS JOGOS DIFERENTOSOS!! BORA LITTLE NIGHTMARES PRIMEIRO :);1
190;@Sier2012 Eu também! :);1
191;@heykarolm Heeeey. :) Um dos melhores livros que já li. AMEI!!;1
192;"O QUE NASCEU PARA SER SEU , NINGUÉM TIRA ,NINGUÉM SEPARA, NINGUÉM  ESTRAGA !!! 
:)";1
193;@br271018 nao nao por acaso sao 22:57,denada :);1
194;@lgsle @DeezerBR quero sim! :) me mande depois!;1
195;@marcelomedici Se vou ao Fagner e Zé Ramalho ia fácil no Belchior :);1
196;por :) favor :) não :) façam :) isso :) comigo :) você é um doido por me achar legal o suficiente pra pedir em namoro aaaa;1
197;@ChaoMendesPage Robei algumas fotos :) espero que não se importem kabskavksa(podem roubar a minha ) https://t.co/O91VlRrouE;1
198;@not_holp @eltontheboss Gosto de jogar este jogo :);1
199;@uhlele misqueci de falar q tomamo 1 :);1
200;@MrFroot Apesar de que vivemos é meio pesado. Somos parte da programação de algo/alguém. :);1
201;@twiterdoMumu Deve ter sido um dia ruim dela,  parece ser uma pessoa incrível.  Paramore é chato. Ela vai reconsiderar :);1
202;@yeahimight podia ter conhecido o kendrick mas decidi ficar a dormir :-);1
203;to me animando pro baile do Dennis :);1
204;@evilquexr Estou sempre ao seu dispor. :);1
205;Hoje, teremos muita música ao vivo, não perca! Uma cortesia nossa para sua presença vip. :) #amoaçaídojunão... https://t.co/OP6T608Jvt;1
206;"Relaxar e relaxar por isso os feriados foram feitos :)
Blue lagoon, Comino, Malta.
https://t.co/sQHJqfrt8O https://t.co/L5Qibv4ezj";1
207;Vou comer um gelado :);1
208;"""É impressão minha ou tá a chover? Ai n, é um carro"" -@marianice já marquei consulta para amanhã :)";1
209;@lmjpuss MUITA BÊNÇÃO, MUITOS SEGUIDORES E MUITO AMOR :);1
210;Facam me companhia :) https://t.co/Zkd44VdrP7;1
211;@FabioGuere Zero carbo não funciona. Jejum intermitente sim,  não precisa de cetose,  precisa controlar os picos de insulina :);1
212;"@votos_camila faz meta de reply :)
 MAMBAS IN FORMATION
#PREMIOSMTVMIAW 
#MTVINSTAGLCABELLO";1
213;Boa noite! :);1
214;@MinhaLoukaVida Aaaaaa mt obrigadaa :);1
215;Porque vocês cheiram mal então precisam de ter um perfume mais intenso :) https://t.co/Ob180MPJ3R;1
216;- A minha mãe acabou de me estragar os planos que tinha para amanhã :);1
217;odeio meu pai :);1
218;Pq vc é flamenguista, cara? Uma pena — sou flamenguista pq sou inteligente e sei escolher :) https://t.co/tExYMPgrwn;1
219;@ChaoMendesPage PASSANDO DOS LIMITES JÁ NÉ :);1
220;@merilaoo vou no japa quando eu voltar a gente vira :);1
221;@bibitatto iiiiiiihhh vo vota em vc :) sqnn ❤kkhfhj;1
222;sou mesmo um amor de pessoa :);1
223;@nao_mechateies @giocondaleandr litros de água também também não mandam coisa alguma :);1
224;eu vejo uns bagulho e fico tipo AAAAAAAAA VOU FALAR UM MONTE ME SEGURA Q TO PUTA mas na vdd fico assim :);1
225;@CarrijoMarcos segue domingo q vem :);1
226;@Lucicopata Tranquilo.. Pelo menos você vai conseguir postar :);1
227;@Dirtymindq8 3aib 7amod :);1
228;N vou conseguir ir em nenhum dos três :) https://t.co/ZwEsv3YmC0;1
229;@LehDuff não me assustam não amore até pq eu gosto de grupos mt mais flopados de que o laboum :);1
230;@Gih_Peccinin Afinal, amigas são pra isso :);1
231;Gostei de um vídeo @YouTube https://t.co/ROmbbi6lQnÃO DOS JOGOS DIFERENTOSOS!! BORA LITTLE NIGHTMARES PRIMEIRO :);1
232;:-) A loucura na chegada do Desp. Aves ao Aeroporto no Porto https://t.co/FulorO6kPd via @maisfutebol;1
233;@Fernando_Saija Tamanho GGG pq tu é um elefante né :);1
234;@lanadelcunha Foi ele que pôs :);1
235;@ManelVieira Não é igual miúdo! Queria estar até ao fim, mas amanhã é a rasgar e vou lá estar louco da cabeça nada me interessa :);1
236;@MoriMurando Me representou :);1
237;@JLadeiras Não sei, mas sinto lhe a falta. Espero que para a semana venha novamente nas cores que nos habituou :);1
238;Ouvir Abril depois de muito tempo me faz muito bem :);1
239;@sangueazul1893 já está :);1
240;Catu de açaí :);1
241;@saturnoretorna A Tati? Alimentação viva :);1
242;@BrancaDeNeve88 Você vai ingressar na faculdade de direito em breve, amore :);1
243;mas passa :);1
244;Gostei de um vídeo @YouTube https://t.co/OjYEPEagZF Combo :) (Desc);1
245;Ora nem mais :) https://t.co/zr09oDWxHY;1
246;@yuriqrn Okay então :);1
247;"Oswaldo Montenegro me fazendo ver Faustão. Seria legal que ele mandasse a versão que tem de ""À Pelo Seco"". :)";1
248;eu n aguento mais, saí da dieta :) foda-ss;1
249;@SaraStorm_ De nada! O meu pai passa horas nisso, ple adora sueca, por isso vou assumir que seja decente :);1
250;@HOUISCREAM_ @louistprotect Ta certo :);1
251;@IsabelAlbuquer1 Vamos ter esperança que sim. Há tempos trazia um casaco salmão, que era um estrondo :);1
252;@Stark_Legend Nossa tava ficando até intediado já , agora tenho pelo menos mais uns minutos garantido :);1
253;"Meu aniversário tá chegando e Camila vai lançar sua nova música :)
#PREMIOSMTVMIAW 
#MTVINSTAGLCABELLO";1
254;"Igreja....acredite se quiser :) :) :) (@ Gri&amp;Lu Café Tattoo in Curitiba, Paraná) https://t.co/KJjZtf7TA3";1
255;Gostei de um vídeo @YouTube https://t.co/7q31UazulUÃO DOS JOGOS DIFERENTOSOS!! BORA LITTLE NIGHTMARES PRIMEIRO :);1
256;"@ntecurtojasbs É mútuo patinha Ahah 
Adoro-te :)";1
257;"Para quem quer saber como eh a votação do bbma amanhã está aqui :)

© na imagem https://t.co/M1g3YTKomc";1
258;Domingo de sol e muitas fotos com a donna_fulana :) https://t.co/DaUWheLVDY;1
259;@brvvdley de nada :);1
260;Helo .. :).. https://t.co/sd3GVw34Tt;1
261;@natashapizarro_ @frasesdebebada Que troco linda? Eu fui comprar p você, o troco é meu :) KKKKKKKK;1
262;gente eu tô vendendo dois  ingressos pro show da ariana em sp, pista comum dia 1 de julho quem quiser pode chamar :);1
263;"Se vcs soubessem o tanto de e-mails e mensagens que já recebi pra falar da tireoide, cirurgia, casamento, namoro, etc etc etc
:)";1
264;@MireiaMChef3 Te adoramos Mireia :) #MasterChef;1
265;@favjstinb De nada :);1
266;Faz quanto tempo que n dorme c/ alguem ? — Dois dias :) https://t.co/BVtyDZuqDQ;1
267;Hoje é domingo, mas é sábado... então vamos chegar tarde em casa... acordar tarde manhã :);1
268;@yourtplease prontinho :);1
269;@Savexalluka @ShionzoneOkay e sou o que tem mais rank aqui  :);1
270;@idcndst so pq meti fav, ate as do rabo e do apaixonado :);1
271;Feliz Domingo  :) https://t.co/hf7FXwNwq1;1
272;@dancordeiro__ Nem é pia, é q o gedoz ficou tretando c ele o jogo inteiro, tava vendo tudo pela telinha! :);1
273;Viemos visitar o artiiista Lorenzo vibes ❤️ e trouxemos uma surpresinha que minha mãe pintoou :) https://t.co/HVbFUNmETC;1
274;Gente que se ofende por uma foto pela mor de Deus ne? Falando que eu sou machista, se eu fosse machista ia mandar vc ir pilota seu fogão :);1
275;Blz, mais uma Cartoonzinha pra fazer, pra BrancaHG :);1
276;"aahhh não velho, o que importa foram as batalhas que ganhamos matilha :)
#GORED #MSI2017 #RedWIN";1
277;@BancodoBrasil Mandei uma DM, me ajuda aí, por favor! :);1
278;LULA PRESIDENTE... JÁ, AGORA! DATAFOLHA: LULA DISPARA E VENCE EM TODOS OS CENÁRIOS! VEJA, CLIQUE AQUI: https://t.co/GZNMEThRrh :-);1
279;"""Really really really really""
Q música viciante :)";1
280;O único aqui a dizer merda és tu :);1
281;eu me importo, eu corro atrás, eu choro, eu faço tudo, mas só não reclame quando eu deixar de me importar :);1
282;@ppaodemonio Isso é que era :);1
283;sou uma merda :);1
284;@Skeattt @REDCanids esqueceu de falar q pegaram muita exp para os proximos desde de 2012 :);1
285;Oi, eu gostaria de saber se eu sou o ovo da sua marmita meu mel :) - é o que eu e bianquinha achamos que funciona ✅;1
286;@brunapurper Se não responderem até às 20h tu leva! :);1
287;Atletiba :| Corinthians x Ponte :);1
288;@fromonstax Obrigada :);1
289;Não se trata apenas de vencer, se trata do que voce aprendeu até chegar lá :);1
290;@arroja0 @ohmaedameagua Ele entendeu :);1
291;@CLG_Vash Certamente, tu nunca dao nada eles sempre vão lá e colocam no rabo de alguém :);1
292;@theanaleonor hahahahha, eu também ficaria mas eu tenho fé que o segundo G me parta tudo menos o coração, não é esse :);1
293;@joaodeslexico69 com muito esforço o xavier lá me convenceu a gostar disto :);1
294;"@WGBrasilx Desculpa por ter falado coisas sem vc ter feito me arrependi agora não sou mais seu hater :) &lt;3";1
295;@luismaandrade @asofscosta @saramsilv A que horas abre a fac? :);1
296;Ta certinho :) errada to eu :);1
297;Olá :) — Olá ☺ https://t.co/RKqWvZAdlr;1
298;@ElisonECV Por isso eu deixei de seguir ele :);1
299;@_MrMigas_ @cstrx_ Sabes que foto tenho no meu telemóvel? Pareces uma ladie :);1
300;Por favor , tirem os olhos da @hiiCaBeyo_  okay gente?  Okay! :);1
301;@cstrx_ @_MrMigas_ EU PARECO UM ANIMAL :);1
302;@catowowman Quando puder :) eu a segui lá e dei uma olhada nas coisas, mas não entendi o conceito hehe;1
303;Gostei de um vídeo @YouTube https://t.co/vO4qTRjz10 v1 - New Member :);1
304;@gdkidprcity Tenho amigos mesmo bons que dão isso nos anos :);1
305;Amo as simplicidades das coisas :);1
306;@oquedizerlarry @troyebird FOCA AKII Ó ME INDICA QUE EU DOU BALINHA :);1
307;Gente a Light que o pedro vende e a do @GreitiVSF_  só wue com mais uma light meio rosa :) thanks;1
308;QUEM NÃO BEBE NÃO TEM HISTÓRIA PAI KKK :) https://t.co/5kYoG2hnY8;1
309;Olá @joaodeslexico69. Não te quero desiludir mas foi o Diogo que escreveu tudo. Continuo a odiar star wars :);1
310;@PensadorZarolho Pensei o mesmo quando vi aquele cabelo com madeixas, só que tu escreveste :);1
311;Se eu pedir vocês não mandam por isso, não me mandem nudes por dm :);1
312;@_micaelimassem Eu querooooo aaaa :);1
313;aii que giro, ele é muito fofo :) — É mesmo aaaa https://t.co/vvodkzcvuv;1
314;@a_grier11 Só tu e que dizes isso :);1
315;"@effysonfire Que ele n amava mais ela*
De nada :)";1
316;eu adoro os meus bicos :) https://t.co/8Ar7hhwWYO;1
317;FIZ MINHA PRIMEIRA MD10 E CAÍ PRATA 5 AMO :);1
318;@FerrantiniEI @Immortals Pode ter a vantagem do cansaço porem  os cara vai ta com a mira quente :);1
319;@UchihamaruGamer Blz,a gente entende. :);1
320;tem uns forrós q vc só sente :) #NowPlaying Saga de Um Vaqueiro by Catuaba Com Amendoim ♫ https://t.co/iNtKlXSj8n;1
321;eu posso nunca mais ter net mas o meu vizinho continua a ter :) https://t.co/Pj8OOjvCZr;1
322;@camsmaslany @caju_sz o cara entro totalmente destruido agora, quem conhece mais ele é a caju por isso a pergunta :);1
323;@MarkowsM Yes! Mas fico uma tarde em NYC :) peguei pra justamente passar o dia lá;1
324;@MarcelaSucupira Usando dorgas? Kkkkkkkk cogumelo é alucinógeno kkkkk zoeira :);1
325;@cstrx_ @_MrMigas_ POIS, SORTE :);1
326;@Duduzinhomc foi ótimo.. passei o dia todo com a minha vovó nada melhor que carinho de vovó... ❤ aliás ela te mandou um beijo :);1
327;@somerdasseca Hehehehe ele que a enfie no cú :);1
328;@ana_vcoelho Vai sim.. jà o arramos e ficarà a pão e àgua no mesmo cativeiro que o Gum :);1
329;@MauroNakada Nunca fui,se quiser me levar to dentro :);1
330;Sendo feliz :) https://t.co/LNZq8bwkWd;1
331;@igoor_marquess @DoentesPFutebol @ChapecoenseReal Pai, perdoa. Ele  não sabe o que fala. :);1
332;Gostei tanto dessa pack :);1
333;Boa noite Perronitos :) #happygirlswithmaite #motivosparacontinuar @MaiteOficial https://t.co/VN1Su3hduB;1
334;@deadtwolf isso é tudo da coleção de hp da riachuelo :);1
335;Rebeldia nordestina! :) #MargarethMenezes #SóMusicão #GeraldoAzevedo #Fagner #Belchior… https://t.co/ev3GBdalub;1
336;Queria ver esse rato do brtt mesmo. :);1
337;@VanessaTrentini Aproveite nossa promoção!! Estamos à disposição para outras informações. :);1
338;quero ver se ela vai ou não :);1
339;Mas pronto n seria uma coisa feita por mim se eu n fizesse mrd :);1
340;"a minha foto do ig a flopar hard
:)";1
341;"Pensando em ir pra casa depois já que não tem ninguém la 
 olhar um filminho  :)";1
342;fim de semana tranquilo sem pressão... e amanhã ainda eh feriado. Obrigado Deus :);1
343;Agora eu to feliz :-);1
344;Lotou a 1a turma, abriu a 2a :-) = CURSO WEBWRITING PARA PORTAIS E MÍDIAS SOCIAIS  https://t.co/jjyDuLM1Tf;1
345;@purpleskuld Isso eu ganhei mesmo :);1
346;"faltam 3 votos :)
https://t.co/1XXyfGicOw";1
347;@sacylol Pq desculpa sacy vocês tentaram :);1
348;@sacylol Voces deram o melhor de vocês, todos nos torcedores temos certeza disso :) forças e cabeça erguida;1
349;@Rayraburra encontrou outra bf né, fico feliz por você :);1
350;Loop,só pq sou legal :) https://t.co/U5oqqRRo0P;1
351;Boa noite meu caros amigos w amigas :);1
352;"Silver 1 :) :) :)

https://t.co/v6WO5Fo1Bx";1
353;Atardecer :) https://t.co/Hxwj5vsRfs;1
354;Me sinto melhor :);1
